Código;Descrição;Cor;Grade;Preço Venda
491535;BLUSA CROPPED EM TRICOT NERVURAS;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;001-BRANCO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;001-BRANCO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491535;BLUSA CROPPED EM TRICOT NERVURAS;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491536;BLUSA EM TRICOT DETALHE TRANCA;001-BRANCO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;004-AMARELO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;005-ROSA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;006-LARANJA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;010-VERDE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;005-ROSA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;006-LARANJA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;010-VERDE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;001-BRANCO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;004-AMARELO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;005-ROSA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;006-LARANJA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;007-AZUL;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;010-VERDE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;001-BRANCO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;005-ROSA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;006-LARANJA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;010-VERDE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;005-ROSA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;003-VERMELHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;006-LARANJA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;006-LARANJA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491536;BLUSA EM TRICOT DETALHE TRANCA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;89,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;010-VERDE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;048-ROSÊ;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;007-AZUL;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;010-VERDE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491538;BLUSA CROPPED EM TRICOT OMBRO SO;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;69,9
491539;BLUSA EM TRICOT MANGA RENDADA;001-BRANCO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;007-AZUL;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;001-BRANCO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;001-BRANCO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;004-AMARELO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;005-ROSA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;006-LARANJA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;007-AZUL;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;001-BRANCO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;006-LARANJA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;009-MARROM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;010-VERDE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;011-ROXO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;012-CINZA;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;022-VINHO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;047-MARFIM;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;002-PRETO;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;007-AZUL;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
491539;BLUSA EM TRICOT MANGA RENDADA;008-BEGE;PP/P/M/G/GG/EXG/46/48/50/52/125/135/Erro;79,9
